-6.6000	1.3323	0.0800
-6.2500	1.6169	0.0800
-5.9000	1.9325	0.0800
-5.5500	2.2746	0.0800
-5.2000	2.6365	0.0800
-4.8500	3.0095	0.0800
-4.5000	3.3832	0.0800
-4.1500	3.7455	0.0800
-3.8000	4.0836	0.0800
-3.4500	4.3846	0.0800
-3.1000	4.6363	0.0800
-2.7500	4.8283	0.0800
-2.4000	4.9522	0.0800
-2.0500	5.0030	0.0800
-1.7000	4.9788	0.0800
-1.3500	4.8821	0.0800
-1.0000	4.7187	0.0800
-0.6500	4.4984	0.0800
-0.3000	4.2345	0.0800
0.0500	3.9429	0.0800
0.4000	3.6417	0.0800
0.7500	3.3506	0.0800
1.1000	3.0894	0.0800
1.4500	2.8774	0.0800
1.8000	2.7321	0.0800
2.1500	2.6673	0.0800
2.5000	2.6922	0.0800
2.8500	2.8097	0.0800
3.2000	3.0150	0.0800
3.5500	3.2956	0.0800
3.9000	3.6308	0.0800
4.2500	3.9931	0.0800
4.6000	4.3501	0.0800
4.9500	4.6678	0.0800
5.3000	4.9139	0.0800
5.6500	5.0614	0.0800
6.0000	5.0916	0.0800
6.3500	4.9965	0.0800
6.7000	4.7792	0.0800
7.0500	4.4534	0.0800
7.4000	4.0415	0.0800
7.7500	3.5710	0.0800
8.1000	3.0716	0.0800
8.4500	2.5718	0.0800
8.8000	2.0958	0.0800
9.1500	1.6623	0.0800
9.5000	1.2832	0.0800
9.8500	0.9640	0.0800
10.2000	0.7048	0.0800
10.5500	0.5014	0.0800
